seed,perm,gmm_rmse,kde_rmse,rnade_rmse,realnvp_rmse,gmm_ise,kde_ise,rnade_ise,realnvp_ise,gmm_rel_L1,kde_rel_L1,rnade_rel_L1,realnvp_rel_L1
1011,0 6 3 18 2 5 8 12 7 9 1 15 16 4 10 19 17 13 14 11,1.7755023110865698e-05,0.0002729023529911526,9.971894050079309e-05,0.00011367217785196354,5.437873840524496e-07,6.374572846723999e-05,1.1081281738859821e-05,1.900066126504542e-05,0.12792002819905782,1.2430667734155203,0.5037307322875683,0.7187250721461814
10112,1 9 14 5 0 12 4 19 13 18 8 11 17 3 10 15 7 16 2 6,2.0719568719288642e-05,0.00030405134095604596,0.00012918406403630107,0.00010536541239554049,6.147852289322673e-07,6.617554521936883e-05,1.4158127235760431e-05,1.731419939401269e-05,0.1328419802489206,1.208982247641512,0.5384003655300663,0.7529758687673183
1111,19 18 7 10 3 1 0 9 16 13 14 11 15 6 8 4 2 12 17 5,2.3824896755291346e-05,0.00031682663024854566,0.0001292104688497435,0.00012726091853928134,6.440898197350368e-07,6.523923876652163e-05,1.293134150206759e-05,2.1444656485658515e-05,0.12737603602134376,1.2322379723315853,0.5240702139527611,0.7381688785477175
1211,18 15 12 9 4 5 0 8 1 13 3 11 10 16 17 2 7 6 19 14,2.0679211497643617e-05,0.00028366709117425264,0.0001027356846535242,0.00010762805321603537,5.436540599623281e-07,6.354707813883338e-05,1.0929552985277357e-05,1.905018224546547e-05,0.12179468578113033,1.068382711172837,0.5240420862894085,0.7413633669329011
1123,9 16 14 7 6 4 11 1 2 13 5 3 19 10 17 18 15 0 12 8,1.751054305551971e-05,0.0002738306622268748,9.047894725550689e-05,0.00011536297257079186,5.881852852298107e-07,6.096606409310027e-05,1.1025874377198794e-05,2.100494836627409e-05,0.13293584161258162,1.1375026091947444,0.5346383329626002,0.7616252150218855
50,15 8 9 18 3 19 7 2 17 10 12 5 6 4 14 1 13 11 0 16,1.6672508108323322e-05,0.0002756142354923089,8.76482108288265e-05,0.00011030934173416277,5.165799805125692e-07,6.231453852056388e-05,1.0205017484237883e-05,1.924123948032491e-05,0.12676276344168735,1.244735435635684,0.5564518960306164,0.7445191535244734
51,1 12 15 2 7 6 3 8 13 11 10 14 17 4 16 18 19 9 0 5,1.8990873045458372e-05,0.0002824032102759425,9.899495027902189e-05,0.00012066123232146636,6.278556846775323e-07,6.241817431912153e-05,1.1679571264547598e-05,2.0989492858339595e-05,0.13375922225859616,1.687443657367785,0.5348703525914396,0.788434644870338
52,6 2 4 8 17 7 16 9 12 1 18 3 15 14 19 10 5 0 13 11,1.9061669836503385e-05,0.000315141245571812,0.00012605570333570074,0.00013123209477251105,5.974543016629131e-07,6.48903853501318e-05,1.288397776868594e-05,1.813743097788816e-05,0.1328411096040036,1.24716457946387,0.527152151791076,0.7600688698662561
53,0 14 7 17 8 11 1 13 6 3 4 18 15 2 19 10 9 12 16 5,2.100479003229737e-05,0.00034126220843896504,0.0001057433409119847,0.0001230222448400964,5.944515184651851e-07,6.504440049659635e-05,1.2585348667035496e-05,2.120958981484775e-05,0.12696784851474452,1.1823642168786446,0.5806562044942963,0.7231173773473881
54,3 13 17 11 18 12 4 10 6 9 14 16 8 0 1 7 19 2 5 15,1.883492444470523e-05,0.0002949316797231156,0.00010068228166717986,0.00011904247255293858,5.513294265359554e-07,6.363537207961978e-05,1.1348985794796188e-05,2.0283519184605368e-05,0.12672017021961432,1.2528706088298658,0.5753754766641136,0.8042716689691631
50,15 8 9 18 3 19 7 2 17 10 12 5 6 4 14 1 13 11 0 16,1.6672508108323322e-05,0.0002756142354923089,8.76482108288265e-05,0.00011030934173416277,5.165799805125692e-07,6.231453852056388e-05,1.0205017484237883e-05,1.924123948032491e-05,0.12676276344168735,1.244735435635684,0.5564518960306164,0.7445191535244734
511,2 8 13 7 6 19 14 1 10 11 15 16 9 4 0 17 18 12 3 5,1.9506296648788825e-05,0.0002841892665781536,0.0001267814876290068,0.00010277441801485112,6.342443097621303e-07,6.229904127210717e-05,1.3668628870335792e-05,1.796226985981734e-05,0.12999593738298987,1.3874525101292163,0.5341850317485003,0.718211143339781
521,7 6 11 3 13 5 14 1 19 4 2 16 8 9 12 0 17 10 15 18,1.709322820360443e-05,0.00027983315257724435,0.0001131798097396227,0.0001113267346234231,5.253409697718188e-07,6.638791590196787e-05,1.2958462198789155e-05,1.954416325723574e-05,0.123987923795292,1.355926481465799,0.5393906618520647,0.7348965243111294
531,3 17 1 16 5 18 2 9 19 13 4 7 14 8 6 10 11 15 12 0,1.8200894954603872e-05,0.00027933378735927336,9.764236633368196e-05,0.00010942464460111859,6.064123269648392e-07,6.311043087403081e-05,1.1302654494386296e-05,1.7732928187541478e-05,0.13473831908944991,1.2687100490092786,0.508336911953615,0.7757655171102614
541,11 16 2 18 10 19 7 1 15 4 9 14 8 0 5 17 13 12 3 6,2.256596179402557e-05,0.00027106137114554584,0.000116661232113475,0.00011871619963549076,7.107583310537186e-07,6.287243803531217e-05,1.3473390390919154e-05,2.2197815724493142e-05,0.14025190288014333,1.1264912989012046,0.5309019051599903,0.7696955411308267
551,13 1 3 7 5 6 12 17 10 18 4 14 9 19 15 8 16 11 0 2,2.0085006858680627e-05,0.00030748530477114504,0.00011224967081483043,0.00012042820814965969,5.602327900696027e-07,6.447772997001102e-05,1.2075249432936478e-05,2.094942310415378e-05,0.12587611461123238,1.1150404585031741,0.5186999693950475,0.8136179278400029
561,5 6 1 4 2 10 8 13 11 18 12 3 16 19 7 9 15 14 0 17,2.3361456381585943e-05,0.00026941210173140256,9.97642502811775e-05,0.00010403626421823214,6.749957414275272e-07,6.141742621205191e-05,1.0789591649344207e-05,1.9081195130080448e-05,0.12543430842562564,1.0758747862864986,0.4956661595713347,0.7292582331076253
571,18 19 12 8 13 3 7 2 4 16 14 11 15 5 0 10 17 6 1 9,1.9696416213259623e-05,0.00030067534682188537,9.451738772533944e-05,0.00012926118630769435,5.668001545148475e-07,6.424461853727845e-05,1.0741325698418896e-05,2.3330950666805167e-05,0.1301796780781208,1.0688939991137605,0.5470422000055101,0.7553003411166144
581,10 19 12 4 6 5 2 13 15 0 14 16 17 3 8 9 18 7 11 1,2.276999684238308e-05,0.00031187588079714635,0.00010385676114886048,0.00010755864936392137,6.782300706574254e-07,6.602599399167803e-05,1.1308551543348327e-05,1.59807628696157e-05,0.14053725879131354,1.0663150277834743,0.5233137803708939,0.7413827006503678
451,2 7 17 9 8 0 15 10 6 1 11 18 19 16 14 3 12 13 4 5,1.8638365249503087e-05,0.00029848762859604984,0.00011016570815263053,0.0001094649481371191,5.935035749862144e-07,6.590080656832434e-05,1.1291123661238543e-05,1.9398647684358877e-05,0.1305731848493685,1.252093447000611,0.5072311914759866,0.726819156458291
452,2 1 6 13 5 17 11 14 9 8 12 19 7 15 3 0 18 4 16 10,2.0093303185242248e-05,0.00026922605186435587,8.67402648046992e-05,0.00011598853178874122,6.261790210709632e-07,6.328895168640088e-05,9.636930715558387e-06,1.8999005620662453e-05,0.13367592047174107,1.1770259031288002,0.506459635132701,0.765717827159494
453,14 9 12 13 4 16 2 15 5 10 11 3 7 6 1 17 19 0 8 18,2.2947776218992425e-05,0.0003108452799304831,9.98339889097767e-05,0.00010234235781767255,5.671134409851441e-07,6.493905239681095e-05,9.191399869711154e-06,1.619771245274905e-05,0.12179702617269347,1.2136809082199682,0.48800907485067374,0.6786085281778543
454,17 11 15 3 19 5 4 6 1 0 18 2 14 10 12 8 13 7 16 9,2.028045150686441e-05,0.0003065420361651191,0.00010784740739132243,0.00011626409945680852,5.741442106759619e-07,6.433573901962108e-05,1.1725833094302745e-05,1.912941088013698e-05,0.12692430237557195,1.1073063338485096,0.5269286500237753,0.7743530669647951
455,10 17 13 18 19 9 4 2 3 1 7 15 6 12 14 11 0 8 5 16,1.8145089948163565e-05,0.00025599260887845907,9.177605545944816e-05,0.00010865882265326927,5.86614713246667e-07,6.081468306267429e-05,1.1182351456645934e-05,2.0754547897575784e-05,0.12910592186150532,1.3265905403922968,0.5184699315441287,0.766812950335024
456,9 13 0 16 2 6 18 3 8 1 7 19 4 17 14 12 15 10 11 5,1.777562984972064e-05,0.0003235716405290505,0.00011541045394307751,0.00012582790751879128,5.109456685602252e-07,6.557176848014589e-05,1.2670353163189808e-05,1.7442304801331574e-05,0.12693400585271597,1.18393069739985,0.5280404875676844,0.7304654832064124
457,13 3 17 19 18 5 8 11 12 1 4 6 16 7 15 9 14 10 0 2,2.1354782729776443e-05,0.00028837503369027865,0.0001399404569449023,9.74982803573105e-05,5.837522850190527e-07,6.458496609835095e-05,1.3903988306581656e-05,1.649627328635138e-05,0.1262373600185047,1.1083164754139925,0.5385647061866121,0.7002137960796982
458,14 15 12 4 3 16 5 18 19 7 9 0 10 11 17 2 6 1 13 8,1.7584821105996143e-05,0.0003136628328194396,0.000137955729586599,0.00011628303724803752,5.034154762475902e-07,6.492954528286629e-05,1.4831350462541831e-05,1.8104944130155625e-05,0.12011152514723672,1.108607584671326,0.55124956233191,0.7133108362407887
5121,15 1 11 4 0 16 12 2 19 10 5 17 18 3 7 9 6 13 14 8,2.0671786200184717e-05,0.0003099908817771604,0.00010580368310496996,0.00012653971366031826,5.721906940686593e-07,6.502721641626886e-05,1.1583630421770206e-05,1.8800331587786227e-05,0.12699281695208134,1.2120551613459802,0.5142697539014928,0.7553657085395702
