 Dimensione   Numerosità  Scenario    GMM mean   GMM sd   KDE mean   KDE sd   RNADE mean   RNADE sd   Real NVP mean   Real NVP sd
-----------  -----------  ---------  ---------  -------  ---------  -------  -----------  ---------  --------------  ------------
          5         5000  A              0.053    0.297      0.230    0.149        0.013      0.014           0.027         0.017
          5        10000  A              0.036    0.258      0.219    0.112        0.009      0.007           0.026         0.013
         10         5000  A              0.049    0.296      0.225    0.151        0.007      0.010           0.022         0.018
         10        10000  A              0.065    0.638      0.398    0.237        0.006      0.022           0.029         0.016
         20         5000  A              0.051    0.295      0.227    0.151        0.008      0.009           0.023         0.020
         20        10000  A              0.128    1.210      0.740    0.529        0.005      0.120           0.032         0.021
          5         5000  B              0.393    0.657      0.354    0.556        0.019      0.060           0.041         0.156
          5        10000  B              0.333    0.626      0.331    0.585        0.019      0.074           0.042         0.203
         10         5000  B              0.781    0.975      0.621    0.825        0.036      0.067           0.046         0.150
         10        10000  B              0.727    0.993      0.602    0.876        0.163      0.275           0.050         0.379
         20         5000  B              1.165    1.085      1.040    1.115        0.057      0.070           0.083         0.215
         20        10000  B              1.188    1.075      1.010    1.085        0.234      0.083           0.089         0.146
